no;pertanyaan;opsi;score;bukti dukung
;Persentase Tempat Pengolahan Pangan (TPP) Siap Saji yang memiliki Sertifikat Laik Hygiene Sanitasi (SLHS);jika capaian persentase TPP yang Wajib SLSH memiliki SLHS menurun atau 0 dalam 2 tahun;0;
6;Keberadaan Daya Tarik Wisata (DTW) yang menyediakan fasilitas pelayanan kesehatan atau bekerja sama dengan fasilitas pelayanan kesehatan terdekat;jika seluruh DTW menyediakan fasilitas pelayanan kesehatan;100;"Laporan keberadaan DTW yang menyediakan fasilitas pelayanan kesehatan atau bekerja sama dengan Fasyankes terdekat yang setidaknya memuat informasi tentang:
a.	jumlah seluruh DTW;
b.	jumlah DTW yang menyediakan fasilitas pelayanan kesehatan atau bekerja sama dengan Fasyankes terdekat;
c.	rekap data DTW yang
menyediakan fasilitas pelayanan kesehatan atau bekerja sama"
;Keberadaan Daya Tarik Wisata (DTW) yang menyediakan fasilitas pelayanan kesehatan atau bekerja sama dengan fasilitas pelayanan kesehatan terdekat;jika sebagian DTW menyediakan fasilitas pelayanan kesehatan;50;
;Keberadaan Daya Tarik Wisata (DTW) yang menyediakan fasilitas pelayanan kesehatan atau bekerja sama dengan fasilitas pelayanan kesehatan terdekat;jika tidak ada DTW yang menyediakan fasilitas pelayanan kesehatan;0;
7;Persentase Daya Tarik Wisata (DTW) yang menerapkan pariwisata inklusif;jika capaian persentase Daya Tarik Wisata (DTW) yang menerapkan pariwisata inklusif meningkat dalam 2 tahun terakhir dan mencapai ? 75 % pada tahun 2024;100;"Laporan DTW yang menerapkan pariwisata inklusif pada tahun 2023 dan 2024 yang setidaknya memuat informasi tentang:
a.	jumlah seluruh DTW;
b.	jumlah DTW yang menerapkan pariwisata inklusif ;
c.	rekap data DTW yang menerapkan pariwisata inklusif ;
d.	lampiran dokumentasi DTW yang menerapkan pariwisata inklusif .
Laporan divalidasi oleh Kepala OPD terkait."
;Persentase Daya Tarik Wisata (DTW) yang menerapkan pariwisata inklusif;jika capaian persentase Daya Tarik Wisata (DTW) yang menerapkan pariwisata inklusif menurun dalam 2 tahun terakhir namun masih ? 75 % pada tahun 2024 atau capaian persentase Daya Tarik Wisata (DTW) yang menerapkan pariwisata inklusif meningkat dalam 2 tahun terakhir namun < 75 % pada tahun 2024;50;
;Persentase Daya Tarik Wisata (DTW) yang menerapkan pariwisata inklusif;jika capaian persentase Daya Tarik Wisata (DTW) yang menerapkan pariwisata inklusif menurun dalam 2 tahun terakhir dan < 75 % pada tahun 2024;0;
8;Daya Tarik Wisata (DTW) menyediakan asuransi keselamatan bagi wisatawan;jika seluruh DTW menyediakan asuransi bagi wisatawan;100;"Laporan keberadaan DTW yang menyediakan asuransi keselamatan bagi wisatawan setidaknya memuat informasi tentang:
a.	jumlah seluruh DTW;
b.	jumlah DTW yang menyediakan asuransi keselamatan bagi wisatawan;
c.	rekap data DTW yang menyediakan asuransi keselamatan bagi wisatawan. Laporan divalidasi oleh Kepala
OPD terkait."
;Daya Tarik Wisata (DTW) menyediakan asuransi keselamatan bagi wisatawan;jika sebagian DTW menyediakan asuransi;50;
;Daya Tarik Wisata (DTW) menyediakan asuransi keselamatan bagi wisatawan;jika DTW tidak menyediakan asuransi;0;
9;Tersedianya Daya Tarik Wisata (DTW) yang kondusif;jika seluruh DTW memiliki kerja sama dengan pemangku kepentingan (stakeholder terkait);100;"Laporan keberadaan DTW yang kondusif setidaknya memuat informasi tentang:
a.	jumlah seluruh DTW;
b.	jumlah DTW yang kondusif ;
c.	rekap data DTW yang kondusif;
d.	lampiran dokumen kerja sama DTW dengan stakeholder terkait. Laporan divalidasi oleh Kepala"
;Tersedianya Daya Tarik Wisata (DTW) yang kondusif;jika sebagian DTW memiliki kerja sama dengan pemangku kepentingan (stakeholder terkait);50;
;Tersedianya Daya Tarik Wisata (DTW) yang kondusif;jika DTW tidak memiliki kerja sama dengan pemangku kepentingan (stakeholder terkait);0;
10;Kabupaten/Kota memiliki Desa/Kampung Wisata;jika kabupaten/kota memiliki Desa/Kampung Wisata dan sudah di SK oleh Kepala Daerah;100;"Laporan keberadaan Desa/Kampung Wisata setidaknya memuat informasi tentang:
a.	jumlah Desa/Kampung Wisata;
b.	rekap data Desa/Kampung Wisata;
d. lampiran SK pembentukan Desa/Kampung Wisata. Laporan divalidasi oleh Kepala"
;Kabupaten/Kota memiliki Desa/Kampung Wisata;jika kabupaten/kota memiliki Desa/Kampung Wisata namun belum di SK oleh Kepala Daerah;50;
;Kabupaten/Kota memiliki Desa/Kampung Wisata; jika kabupaten/kota tidak memiliki Desa/kampung Wisata;0;
11;Terdapat Kelompok Sadar Wisata (Pokdarwis) di setiap Desa/Kampung Wisata;jika semua Desa/Kampung Wisata memiliki Pokdarwis, berfungsi dan berkelanjutan;100;Laporan perangkat daerah yang membidangi kepariwisataan berupa rekap data pokdarwis. Laporan divalidasi oleh Kepala OPD terkait.
;Terdapat Kelompok Sadar Wisata (Pokdarwis) di setiap Desa/Kampung Wisata;jika semua Desa/Kampung Wisata memiliki Pokdarwis dan berfungsi;50;
;Terdapat Kelompok Sadar Wisata (Pokdarwis) di setiap Desa/Kampung Wisata;jika semua Desa/Kampung Wisata tidak memiliki Pokdarwis;0;
12;Persentase Daya Tarik Wisata (DTW) yang memiliki upaya pengelolaan sampah secara mandiri;jika memiliki upaya pengelolaan sampah secara mandiri dan meningkat;100;Laporan upaya pengelolaan sampah secara mandiri oleh DTW. Laporan divalidasi oleh Kepala OPD terkait dan dilampirkan dokumentasi kegiatan pengelolaan sampah mandiri di DTW.
;Persentase Daya Tarik Wisata (DTW) yang memiliki upaya pengelolaan sampah secara mandiri;ika memiliki upaya pengelolaan sampah secara mandiri dan tetap;50;
;Persentase Daya Tarik Wisata (DTW) yang memiliki upaya pengelolaan sampah secara mandiri;jika memiliki upaya pengelolaan sampah secara mandiri dan menurun;0;
