name;s.data;d.operasional
Persentase pangan segar yang memenuhi syarat keamanan pangan;"Sumber data: Dinas yang menangani ketahanan pangan/pangan di kab/kota
Capaian Pengawasan di peredaran: Realisasi PSAT yang memenuhi Persyaratan Keamanan dan Mutu pangan di peredaran  (Y) =  P/N x 100%";"Hasil pengawasan keamanan dan mutu pangan di Kabupaten/Kota yang dibuktikan dengan persentase pangan segar yang memenuhi persyaratan keamanan dan mutu pangan. 
Target Nasional tahun 2022 = 85-95% ; tahun 2023 = 85-95%; tahun 2024 = 85-95%."
Kabupaten/Kota yang menerapkan kebijakan GERMAS dengan kriteria : melaksanakan penggerakan masyarakat dalam mendukung 5 klaster GERMAS minimal 3 kali dalam setahun;microsite promkes;"Kabupaten/kota yang menerapkan kebijakan Germas dengan kriteria: Memiliki kebijakan Germas sesuai dengan Inpres No.1 Tahun 2017 (melaksanakan 5 kluster germas) dan atau kebijakan berwawasan kesehatan Melaksanakan penggerakkan masyarakat dalam mendukung 5 kluster Germas minimal 3 kali setahun, dengan melibatkan lintas sektor, pendidikan sekolah), Upaya Kesehatan Bersumberdaya Masyarakat (UKBM) dan atau mitra potensial. 
5 Kluster GERMAS : edukasi kesehatan, peningkatan pangan sehat, pencegahan ddan deteksi dini penyakit, peningkatan aktivitas fisik, peningkatan kualitas lingkungan.
melaksanakan penggerakan masyarakat dalam mendukung 5 klaster GERMAS minimal 3 kali dalam setahun dengan :
1. menampilkan kegiatan edukasi kesehatan (larangan merokok, larangan konsumsi alkohol)
2. penigkatan pangan sehat (makan buah dan sayur, gerakan isi pringku, kantin sehat, pembatasan Gula Garam Lemak)
3. pencegahan dan deteksi dini penyakit (pemeriksaan kesehatan berkala)
4. peningkatan aktivitas fisik (tersedia data aktivitas fisik intensitasi sedang umur 18-64 tahun 100-150 menit/minggu baik melalui survey atau laporan kegiatan)
5. peningkatan kualitas lingkungan (penerapan STBM 5 pilar, kerja bakti, PSN)
perhitungan :
Kabupaten/Kota melaksanakan kegiatan GERMAS minimal 3 kali/tahun dengan melaporkan lebih dari satu kegiatan setiap kluster dan harus tersedianya data aktivitas fisik intensitasi sedang umur 18-64 tahun 100-150 menit/minggu baik melalui survey atau laporan kegiatan
catatan : kluster aktivitas fisik adalah kluster wajib untuk dilaksanakan (WHO)"
Persentase penderita Diabetes Melitus yang mendapatkan pelayanan kesehatan sesuai standar;Sumber Data : Laporan SPM, Aplikasi Sistem Informasi Penyakit Tidak Menular (SIPTM), Aplikasi Sehat Indonesiaku  (ASIK), Komdat Kemenkes;Persentase penyandang Diabetes Melitus (DM) yang gula darah puasa <126 mg/dl atau gula darah 2 jam PP <200 mg/dl sebanyak minimal 3 kali (3 bulan) atau HBA1C <7% minimal 1 kali dalam kurun waktu 1 tahun 
Persentase penderita Hipertensi yang mendapatkan pelayanan kesehatan sesuai standar ;Sumber Data : Aplikasi Sistem Informasi Penyakit Tidak Menular (SIPTM), Aplikasi Sehat Indonesiaku  (ASIK), Laporan SPM ;Persentase penyandang Hipertensi yang tekanan darah sistolik dan diastolik turun dan kurang dari 140/90 mmHg dalam kurun waktu3 bulan atau 3 kali dalam kurun waktu 1 tahun
Persentase Orang Dengan Gangguan Jiwa Berat  yang mendapatkan pelayanan sesuai standar dan eliminasi pasung;Sumber Data : Laporan SPM, Aplikasi Sehat Indonesiaku, Komdat Kemenkes;Persentase penderita orang dengan gangguan jiwa berat yang mendapatkan pelayanan sesuai standar (Media KIE dan Diagnosis).
Persentase Bayi usia 0-11 bulan yang mendapatkan Imunisasi Lengkap ;"Menggunakan Dashboard ASIK (Aplikasi Sehat Indonesiaku)/ data laporan rutin di Dinas Kesehatan Kabupaten/Kota yang telah dilaporkan ke Dinkes Provinsi pada tahun berjalan 

Data pusat dari Direktorat Pengelolaan Imunisasi";Persentase bayi usia 0-11 bulan yang mendapat imunisasi lengkap meliputi 1 dosis Hepatitis B pada usia 0-7 hari, 1 dosis BCG, 4 dosis Polio tetes (bOPV), 1 dosis Polio suntik (IPV),  3 dosis DPT-HB-Hib, serta 1 dosis Campak Rubela (MR) di satu wilayah dalam kurun waktu tertentu. 
Pesentase penduduk sesuai kelompok usia yang dilakukan skrining PTM;Sumber Data : Aplikasi Sehat Indonesiaku  (ASIK).;Persentase Penduduk Sesuai Kelompok Sasaran Yang Mendapatkan Skrining PTM Prioritas  Yaitu Hipertensi, DM, Obesitas, Stroke, Jantung, PPOK, Kanker Payudara, Kanker Leher Rahim, Katarak Dan Kelainan Refraksi, Tuli Kongenital, Dan Otitis Media Supurative Kronis (OMSK).
Kabupaten/Kota yang telah eliminasi malaria;Aplikasi Sistem Informasi Malaria (E-Sismal);Syarat utama Eliminasi Malaria yakni tidak ada penularan setempat atau kasus indigenous selama tiga tahun berturut-turut, Positivity Rate kurang dari 5%, dan API kurang dari 1 Per 1.000 penduduk. 
Persentase Fasilitas Pelayanan Kesehatan Terakreditasi ;SINAF (Sistem Informasi Nasional Akreditasi Fasyankes) dan SINAR (Sistem Informasi Nasional Akreditasi Rumah Sakit);Persentase Fasilitas Pelayanan Kesehatan (Rumah Sakit, Puskesmas, dan Klinik) yang memiliki sertifikat terakreditasi yang masih berlaku pada tahun berjalan (RPJMN)
Rasio ketersediaan tempat tidur rumah sakit terhadap jumlah penduduk yang dilayani;Standar WHO;Tingkat ketersediaan tempat tidur rumah sakit dan puskesmas perawatan dibandingkan populasi penduduk yang dilayani dalam tahun berjalan
Persentase ibu hamil KEK;"Data Dinkes Kab/Kota yang dilaporkan
setiap bulan melalui aplikasi pemantauan pertumbuhan balita dalam Sigizi Terpadu (e-PPGBM)";"
Proporsi ibu hamil yang diukur Lingkar Lengan Atasnya (LiLA) menggunakan pita LiLA dengan hasil ukur kurang dari 23,5 cm terhadap jumlah ibu hamil yang diukur LiLAnya pada periode
tertentu dikali 100%. "
Prevalensi Obesitas pada  Anak Usia Sekolah;Renstra Kemenkes, data statistik nasional atau sumber lainnya yang relevan;Prevalensi Obesitas pada  Anak Usia Sekolah  di Kab/Kota dalam tahun berjalan
Rumah Sakit dan Puskesmas telah mengelola limbah medis sesuai standar;Aplikasi Sistem Informasi Kelola Limbah Medis (SIKELIM);Jumlah Rumah Sakit dan Puskesmas telah mengelola limbah medis sesuai standar di Kab/Kota dalam tahun berjalan
Persentase Puskesmas yang melaksanakan deteksi dini penyalahgunaan Napza;Dinas kesehatan kab/kota;"Puskesmas yang melakukan deteksi dini penyalahgunaan Napza menggunakan instrumen ASSIST dibagi jumlah keseluruhan puskesmas dikali 100
Target : ? 90%"
Jumlah Penduduk usia ? 15 tahun yang memiliki risiko kesehatan jiwa yang mendapatkan skrining;Dinas kesehatan kab/kota;"Jumlah Penduduk usia ? 15 tahun yang memiliki risiko kesehatan jiwa yang mendapatkan skrining  dengan menggunakan instrumen SDQ/ SRQ20
Target 2023 : 60%
Target 2024 : 90%"
Persentase posyandu aktif di Kabupaten/Kota;microsite promkes;Posyandu aktif adalah posyandu yang mampu melaksanakan kegiatan utamanya secara rutin setiap bulan (KIA : ibu hamil, ibu nifas, bayi, balita, KB, imunisasi, gizi, pencegahan dan penanggulan diare) dengan cakupan masing-masing lebih dari 60%
Adanya kebijakan Kawasan Tanpa Rokok (KTR) di setiap tatanan Kab/Kota Sehat dan menerapkan indikator prinsip 100% kepatuhan KTR;belum ada;"Kabupaten/Kota sudah memiliki kebijakan KTR, Satgas dan telah menerapkan KTR di Tatanan dengan indikator prinsip 100% kepatuhan KTR.

Indikator prinsip 100% kepatuhan KTR yaitu :
1. ada tanda dilarang merokok
2. tidak ditemukan orang merokok di dalam gedung
3. tidak ditemukan ruang merokok di dalam gedung
4. tidak ditemukan puntung rokok
5. tidak ditemukan penjualan rokok
6. tidak ditemukan asbak/korek api
7. tidak ditemukan iklan atau promosi rokok
8. tidak tercium asap rokok"
Persentase Puskesmas yang melakukan surveilans vektor (Angka Bebas Jentik , Indeks Habitat Vektor Malaria atau Filariasis dan Success trap tikus);SILANTOR (sistem surveilans vektor);"Angka bebas jentik, Indeks Habitat Vektor Malaria atau Filariasis dan Success trap tikus merupakan data yang dilihat melalui aplikasi SILANTOR dan minimal 80% puskesmas melakukan surveilans vektor 

 Puskesmas yang melakukan surveilans vektor dengan capaian Angka Bebas Jentik , Indeks Habitat Vektor Malaria atau Filariasis dan Success trap tikus)"
Persentase Puskesmas yang melaksanakan pelayanan ramah anak (PRAP);Dinas PPPA;Puskesmas yang telah menginisiasi pelayanan ramah anak adalah puskesmas yang telah memiliki SK sebagai PRAP dari pemerintah daerah. Upaya atau pelayanan kesehatan di  Puskesmas dilakukan berdasarkan  pemenuhan, perlindungan dan penghargaan  atas hak-hak anak sesuai empat prinsip  hak anak yaitu non diskriminasi,  kepentingan terbaik bagi anak, hak untuk  hidup, kelangsungan dan perkembangan  serta penghargaan terhadap pendapat anak
